"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1915","Login with password having emojis","chromium","Fri Jul 18 02:35:57 GMT 2025","passed","Fri Jul 18 02:35:59 GMT 2025","Verify the user login with emojis","e2e-login.spec.ts","",""
"","1810","Login with password in uppercase","chromium","Fri Jul 18 02:34:51 GMT 2025","passed","Fri Jul 18 02:34:53 GMT 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","1722","Login with valid credentials successfully","chromium","Fri Jul 18 02:33:00 GMT 2025","passed","Fri Jul 18 02:33:01 GMT 2025","Verify the user can login with valid account","e2e-login.spec.ts","",""
"","1630","Login with an invalid username","chromium","Fri Jul 18 02:33:02 GMT 2025","passed","Fri Jul 18 02:33:03 GMT 2025","Verify the user login with invalid account","e2e-login.spec.ts","",""
"","1154","Login with both username and password fields empty","chromium","Fri Jul 18 02:33:08 GMT 2025","passed","Fri Jul 18 02:33:09 GMT 2025","Verify the user leaves empty fields","e2e-login.spec.ts","",""
"","1970","Login with password having whitespace at the end","chromium","Fri Jul 18 02:33:36 GMT 2025","passed","Fri Jul 18 02:33:38 GMT 2025","Verify the user login with white spaces","e2e-login.spec.ts","",""
"","1804","Login with password having whitespace at the beginning","chromium","Fri Jul 18 02:33:38 GMT 2025","passed","Fri Jul 18 02:33:40 GMT 2025","Verify the user login with white spaces","e2e-login.spec.ts","",""
"","1495","Login with username having SQL injection","chromium","Fri Jul 18 02:35:25 GMT 2025","passed","Fri Jul 18 02:35:26 GMT 2025","Verify the user login with SQL injection","e2e-login.spec.ts","",""
"","6022","Login with strong valid password","chromium","Fri Jul 18 02:35:49 GMT 2025","failed","Fri Jul 18 02:35:55 GMT 2025","Verify the password that meets all criteria perfectly","e2e-login.spec.ts","",""
"","1811","Login with mixed case password","chromium","Fri Jul 18 02:35:14 GMT 2025","passed","Fri Jul 18 02:35:16 GMT 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","1891","Login with password in Arabic","chromium","Fri Jul 18 02:35:23 GMT 2025","passed","Fri Jul 18 02:35:25 GMT 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","1867","Login with password having SQL injection","chromium","Fri Jul 18 02:35:26 GMT 2025","passed","Fri Jul 18 02:35:28 GMT 2025","Verify the user login with SQL injection","e2e-login.spec.ts","",""
"","1854","Login with password having XSS attack","chromium","Fri Jul 18 02:35:30 GMT 2025","passed","Fri Jul 18 02:35:32 GMT 2025","Verify the user login with XSS attack","e2e-login.spec.ts","",""
"","1990","Login with password in Chinese","chromium","Fri Jul 18 02:35:19 GMT 2025","passed","Fri Jul 18 02:35:21 GMT 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","1684","Login with username in Chinese","chromium","Fri Jul 18 02:35:17 GMT 2025","passed","Fri Jul 18 02:35:19 GMT 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","1868","Login with password at min length","chromium","Fri Jul 18 02:33:45 GMT 2025","passed","Fri Jul 18 02:33:47 GMT 2025","Verify the user login with max/min length","e2e-login.spec.ts","",""
